2402,6,9,10,27,36
2401,8,19,30,31,33
2400,1,4,15,19,36
2399,2,7,24,27,32
2398,4,7,13,21,31
2397,4,5,7,8,25
2396,9,16,18,22,36
2395,8,9,11,19,28
2394,6,11,13,22,23
2393,9,17,29,32,36
2392,2,20,25,26,30
2391,5,14,23,24,27
2390,3,4,8,13,32
2389,3,16,17,18,25
2388,15,16,17,20,30
2387,2,5,17,20,24
2386,4,6,22,28,30
2385,1,22,26,27,35
2384,3,12,15,26,27
2383,10,19,21,22,23
2382,1,7,11,25,28
2381,6,11,22,23,30
2380,1,8,14,15,31
2379,6,7,9,12,26
2378,2,14,19,25,27
2377,4,26,28,30,36
2376,18,20,21,31,33
2375,8,15,16,21,29
2374,3,13,15,24,36
2373,1,8,10,14,16
2372,3,7,10,20,31
2371,3,14,19,29,36
2370,15,21,24,27,32
2369,3,4,6,17,31
2368,2,5,11,22,30
2367,8,12,18,22,30
2366,1,5,17,21,34
2365,10,13,14,17,34
2364,3,10,15,19,34
2363,3,12,13,22,32
2362,2,7,29,32,36
2361,1,11,13,29,30
2360,1,6,9,11,26
2359,3,13,14,19,27
2358,11,13,18,23,34
2357,5,16,22,24,29
2356,11,18,22,23,31
2355,3,13,15,27,29
2354,3,5,17,20,28
2353,6,7,11,16,22
2352,6,10,17,24,27
2351,8,12,18,29,35
2350,5,6,7,18,19
2349,5,8,27,28,29
2348,12,14,17,29,35
2347,5,6,7,15,32
2346,2,12,15,26,28
2345,3,18,21,27,31
2344,5,16,30,33,36
2343,7,15,26,30,34
2342,8,12,18,28,35
2341,1,17,26,29,30
2340,5,9,11,29,36
2339,2,9,11,14,36
2338,9,18,26,27,35
2337,1,3,11,13,21
2336,1,3,5,6,29
2335,2,4,14,17,27
2334,2,5,12,34,35
2333,3,7,21,25,33
2332,1,6,7,16,21
2331,3,15,17,19,34
2330,3,6,8,13,26
2329,9,12,18,21,22
2328,6,12,22,27,33
2327,18,19,21,29,33
2326,1,3,16,24,29
2325,1,8,12,30,33
2324,4,6,22,24,25
2323,3,9,24,26,27
2322,2,4,6,14,16
2321,2,9,13,19,23
2320,2,5,8,9,33
2319,1,2,7,22,34
2318,17,23,26,33,36
2317,11,12,13,31,33
2316,1,2,3,12,35
2315,11,19,22,34,35
2314,8,9,30,35,36
2313,6,10,13,20,24
2312,6,7,16,18,24
2311,7,29,31,33,34
2310,6,10,13,14,24
2309,1,2,6,12,28
2308,10,28,30,33,34
2307,12,13,27,30,34
2306,1,16,27,34,36
2305,4,8,12,19,28
2304,1,15,22,33,36
2303,3,19,22,27,28
2302,15,17,20,26,29
2301,6,9,15,17,35
2300,8,14,22,28,34
2299,9,14,15,20,35
2298,3,13,24,30,36
2297,9,17,23,34,35
2296,7,13,16,30,35
2295,4,18,20,22,34
2294,2,9,14,23,25
2293,6,7,25,26,27
2292,11,18,21,23,33
2291,7,8,12,23,24
2290,2,5,11,26,33
2289,1,30,31,34,35
2288,6,9,24,25,29
2287,3,4,15,20,22
2286,4,7,28,33,36
2285,2,4,9,19,20
2284,8,20,23,29,32
2283,1,2,24,34,35
2282,4,7,21,24,27
2281,2,6,8,22,30
2280,13,19,27,32,35
2279,1,4,7,10,12
2278,2,3,7,21,25
2277,2,11,13,18,29
2276,5,7,14,17,31
2275,3,24,25,31,35
2274,15,16,20,34,36
2273,2,6,15,31,35
2272,4,25,30,34,35
2271,11,12,16,22,31
2270,2,23,31,32,34
2269,9,17,18,31,34
2268,2,7,10,12,36
2267,15,24,29,31,33
2266,3,10,17,21,26
2265,3,5,24,25,29
2264,7,27,31,34,36
2263,4,8,10,20,33
2262,2,4,7,13,32
2261,2,16,17,21,23
2260,8,13,14,18,21
2259,4,13,22,27,29
2258,4,8,19,22,36
2257,1,3,12,26,33
2256,1,11,17,20,33
2255,5,13,17,21,28
2254,5,14,17,24,26
2253,16,23,27,31,36
2252,1,12,23,26,30
2251,3,15,17,20,23
2250,4,6,12,22,25
2249,9,21,23,24,34
2248,18,22,26,28,31
2247,4,10,17,22,33
2246,5,12,13,25,27
2245,1,4,14,26,31
2244,2,6,8,10,35
2243,1,23,28,32,36
2242,15,19,25,29,30
2241,7,8,12,15,28
2240,9,15,27,28,29
2239,5,16,17,20,35
2238,11,14,28,30,33
2237,7,10,15,27,35
2236,7,11,17,18,33
2235,3,19,22,28,35
2234,9,19,21,23,35
2233,2,12,14,25,29
2232,5,11,17,28,35
2231,7,8,17,22,27
2230,1,7,21,28,33
2229,2,3,9,16,21
2228,8,13,15,25,32
2227,7,8,17,18,25
2226,11,16,20,21,24
2225,4,7,25,30,36
2224,10,17,25,26,32
2223,10,17,27,28,30
2222,9,10,13,15,19
2221,2,7,17,25,31
2220,7,11,13,21,25
2219,10,13,14,18,30
2218,13,23,27,31,35
2217,6,15,22,23,29
2216,4,20,31,32,36
2215,10,14,17,25,34
2214,8,13,19,26,34
2213,3,12,14,26,30
2212,2,7,19,28,29
2211,2,4,16,26,27
2210,2,12,21,23,26
2209,4,6,21,22,34
2208,5,19,25,29,36
2207,2,7,8,11,31
2206,1,9,11,13,27
2205,9,19,21,27,28
2204,1,4,14,25,36
2203,3,9,11,18,22
2202,1,5,6,22,36
2201,5,6,24,27,29
2200,1,7,12,13,19
2199,2,15,16,27,35
2198,8,11,20,29,30
2197,1,7,15,27,30
2196,10,12,16,17,33
2195,2,7,11,12,17
2194,2,3,4,13,28
2193,7,20,25,32,34
2192,12,16,17,22,35
2191,4,10,17,20,27
2190,3,8,9,13,36
2189,3,12,13,19,23
2188,1,2,26,30,33
2187,2,7,8,26,35
2186,11,15,26,28,31
2185,6,15,16,19,22
2184,14,21,22,31,32
2183,17,19,21,26,36
2182,3,8,14,29,34
2181,9,20,29,35,36
2180,6,18,27,28,36
2179,7,10,19,25,30
2178,1,3,12,24,33
